Epochs,Batch Size,Optimizer,Accuracy,Precision,Recall,F1-Score,Cross-Entropy
3,32,adam,0.8769789250781487,0.893425460636516,0.8571715548413017,0.8749231084683207,0.306391346199019
5,64,adam,0.8712312191186851,0.8707673812863154,0.8730413820811571,0.8719028989868592,0.41709526051918583
3,32,rmsprop,0.8802057073711808,0.8500184706316956,0.924467657693853,0.8856812933025404,0.29159695824519877
5,64,rmsprop,0.8809115659977816,0.8646053389667755,0.9043792687826436,0.8840451644575356,0.33888461067853043
