Epochs,Batch Size,Optimizer,Accuracy,F1-Score
3,32,adam,0.8779872945447211,0.8779995966928816
5,64,adam,0.8611475244529596,0.8654616511968735
3,32,rmsprop,0.8832308157708985,0.8840608730476572
